post_id,author_id,group_id,is_original,is_stolen,created_at,media_type,text,like_count,comment_count,share_count
1,2986,1,True,False,2024-08-04,image,Content group 1 original post about topic 9,37,9,1
2,559,2,True,False,2024-07-17,image,Content group 2 original post about topic 18,2,0,0
3,1170,3,True,False,2024-07-24,video,Content group 3 original post about topic 23,28,4,2
4,21,4,True,False,2024-07-26,video,Content group 4 original post about topic 34,20,4,2
5,130,5,True,False,2024-07-05,video,Content group 5 original post about topic 4,9,1,0
6,1478,6,True,False,2024-07-23,image,Content group 6 original post about topic 43,3,0,0
7,840,6,False,True,2024-07-29,video,Content group 6 copied post about topic 6,3,0,0
8,2247,7,True,False,2024-08-17,image,Content group 7 original post about topic 15,7,1,0
9,1972,8,True,False,2024-08-03,text,Content group 8 original post about topic 23,50,14,7
10,753,9,True,False,2024-07-24,image,Content group 9 original post about topic 4,49,12,9
11,2065,9,False,True,2024-07-29,image,Content group 9 copied post about topic 27,29,5,3
12,234,10,True,False,2024-07-06,image,Content group 10 original post about topic 15,46,9,5
13,1136,10,False,True,2024-07-11,video,Content group 10 copied post about topic 7,29,3,1
14,1587,11,True,False,2024-08-27,video,Content group 11 original post about topic 45,5,1,0
15,1311,12,True,False,2024-07-02,video,Content group 12 original post about topic 13,40,8,2
16,1170,13,True,False,2024-07-30,video,Content group 13 original post about topic 13,53,14,9
17,2163,14,True,False,2024-07-24,video,Content group 14 original post about topic 29,13,1,1
18,3000,15,True,False,2024-08-23,video,Content group 15 original post about topic 19,17,4,1
19,1719,16,True,False,2024-07-13,text,Content group 16 original post about topic 14,30,7,3
20,318,17,True,False,2024-07-22,video,Content group 17 original post about topic 40,24,3,4
21,2285,17,False,True,2024-07-26,video,Content group 17 copied post about topic 22,21,4,2
22,1201,17,False,True,2024-07-24,image,Content group 17 copied post about topic 14,25,7,2
23,1455,18,True,False,2024-07-14,video,Content group 18 original post about topic 9,10,2,0
24,2496,19,True,False,2024-08-16,video,Content group 19 original post about topic 6,34,8,4
25,793,19,False,True,2024-08-19,text,Content group 19 copied post about topic 17,36,3,2
26,2691,20,True,False,2024-07-03,image,Content group 20 original post about topic 49,15,4,2
27,2817,20,False,True,2024-07-09,video,Content group 20 copied post about topic 39,22,5,4
28,1076,20,False,True,2024-07-08,video,Content group 20 copied post about topic 14,26,4,4
29,1364,21,True,False,2024-07-26,image,Content group 21 original post about topic 9,13,1,0
30,1292,21,False,True,2024-08-04,image,Content group 21 copied post about topic 34,10,1,1
31,2740,22,True,False,2024-08-10,video,Content group 22 original post about topic 2,29,3,1
32,783,23,True,False,2024-07-17,video,Content group 23 original post about topic 21,17,4,2
33,138,23,False,True,2024-07-18,video,Content group 23 copied post about topic 28,7,1,1
34,2456,23,False,True,2024-07-19,image,Content group 23 copied post about topic 3,10,1,1
35,554,24,True,False,2024-07-12,image,Content group 24 original post about topic 20,38,6,6
36,1158,25,True,False,2024-08-22,video,Content group 25 original post about topic 2,6,1,1
37,2590,26,True,False,2024-07-09,image,Content group 26 original post about topic 34,7,0,0
38,740,27,True,False,2024-08-19,video,Content group 27 original post about topic 49,5,0,0
39,457,28,True,False,2024-07-19,image,Content group 28 original post about topic 17,56,7,2
40,1384,28,False,True,2024-07-23,video,Content group 28 copied post about topic 48,44,10,4
41,593,28,False,True,2024-07-24,video,Content group 28 copied post about topic 8,47,5,4
42,2376,29,True,False,2024-07-23,image,Content group 29 original post about topic 47,43,9,8
43,2854,29,False,True,2024-07-28,image,Content group 29 copied post about topic 28,17,2,1
44,1527,29,False,True,2024-07-28,text,Content group 29 copied post about topic 31,29,4,4
45,372,30,True,False,2024-07-09,video,Content group 30 original post about topic 19,22,3,3
46,2355,31,True,False,2024-07-08,image,Content group 31 original post about topic 4,4,0,0
47,31,32,True,False,2024-08-07,text,Content group 32 original post about topic 19,63,8,10
48,811,33,True,False,2024-07-29,video,Content group 33 original post about topic 46,28,4,2
49,1822,34,True,False,2024-07-30,image,Content group 34 original post about topic 24,7,1,1
50,2136,34,False,True,2024-08-08,video,Content group 34 copied post about topic 11,8,1,1
51,2634,35,True,False,2024-08-19,video,Content group 35 original post about topic 13,18,2,2
52,1918,36,True,False,2024-07-29,image,Content group 36 original post about topic 13,23,6,1
53,346,36,False,True,2024-08-01,image,Content group 36 copied post about topic 14,16,4,1
54,1389,37,True,False,2024-07-14,video,Content group 37 original post about topic 13,31,7,5
55,792,38,True,False,2024-07-15,image,Content group 38 original post about topic 22,8,1,0
56,1442,39,True,False,2024-08-19,text,Content group 39 original post about topic 3,2,0,0
57,2432,40,True,False,2024-08-24,image,Content group 40 original post about topic 41,35,4,2
58,1992,41,True,False,2024-08-18,image,Content group 41 original post about topic 16,32,3,2
59,1066,42,True,False,2024-07-21,video,Content group 42 original post about topic 25,5,0,0
60,598,42,False,True,2024-07-21,video,Content group 42 copied post about topic 47,4,1,0
61,1846,42,False,True,2024-07-24,video,Content group 42 copied post about topic 2,4,0,0
62,2366,43,True,False,2024-08-05,image,Content group 43 original post about topic 21,1,0,0
63,1540,43,False,True,2024-08-05,video,Content group 43 copied post about topic 2,1,0,0
64,1161,44,True,False,2024-08-24,video,Content group 44 original post about topic 18,21,5,2
65,2928,45,True,False,2024-08-17,video,Content group 45 original post about topic 41,39,10,4
66,971,46,True,False,2024-07-25,text,Content group 46 original post about topic 36,23,6,4
67,1834,47,True,False,2024-08-04,video,Content group 47 original post about topic 41,12,2,1
68,99,48,True,False,2024-08-19,video,Content group 48 original post about topic 8,86,23,10
69,1615,49,True,False,2024-08-14,image,Content group 49 original post about topic 40,24,6,3
70,1425,50,True,False,2024-07-01,video,Content group 50 original post about topic 13,28,4,4
71,2857,50,False,True,2024-07-10,image,Content group 50 copied post about topic 34,29,5,3
72,2507,51,True,False,2024-07-09,image,Content group 51 original post about topic 41,9,2,0
73,2056,52,True,False,2024-08-13,video,Content group 52 original post about topic 3,34,5,2
74,2402,52,False,True,2024-08-13,video,Content group 52 copied post about topic 18,37,9,7
75,974,53,True,False,2024-07-30,video,Content group 53 original post about topic 27,27,3,4
76,571,54,True,False,2024-08-22,video,Content group 54 original post about topic 31,66,13,3
77,121,54,False,True,2024-08-25,image,Content group 54 copied post about topic 18,70,8,12
78,2144,54,False,True,2024-08-23,image,Content group 54 copied post about topic 37,57,9,7
79,540,54,False,True,2024-08-23,image,Content group 54 copied post about topic 4,63,9,8
80,1664,55,True,False,2024-07-13,video,Content group 55 original post about topic 48,32,8,1
81,2790,56,True,False,2024-08-27,video,Content group 56 original post about topic 45,27,3,4
82,1911,57,True,False,2024-07-29,video,Content group 57 original post about topic 2,13,3,1
83,361,57,False,True,2024-07-30,video,Content group 57 copied post about topic 15,10,2,1
84,2961,57,False,True,2024-08-04,text,Content group 57 copied post about topic 29,21,4,1
85,1947,57,False,True,2024-08-02,image,Content group 57 copied post about topic 34,17,2,2
86,2066,58,True,False,2024-08-11,image,Content group 58 original post about topic 44,13,1,0
87,2491,59,True,False,2024-07-13,video,Content group 59 original post about topic 48,17,3,1
88,2474,60,True,False,2024-07-27,video,Content group 60 original post about topic 2,26,2,2
89,1826,61,True,False,2024-07-31,image,Content group 61 original post about topic 38,36,7,2
90,393,61,False,True,2024-08-09,video,Content group 61 copied post about topic 40,17,4,2
91,1319,62,True,False,2024-08-10,image,Content group 62 original post about topic 15,9,1,0
92,1039,62,False,True,2024-08-13,video,Content group 62 copied post about topic 1,7,1,1
93,250,62,False,True,2024-08-18,video,Content group 62 copied post about topic 17,8,2,1
94,1063,62,False,True,2024-08-15,image,Content group 62 copied post about topic 33,9,2,1
95,892,63,True,False,2024-07-21,video,Content group 63 original post about topic 36,7,1,0
96,453,64,True,False,2024-08-02,image,Content group 64 original post about topic 6,28,7,3
97,2341,65,True,False,2024-07-02,video,Content group 65 original post about topic 5,5,0,0
